jeu,Username,Note,Title,Content,serie,jeu_serie,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score,Compound Sentiment Score,type
Duke Nukem 3D (version Game.com),Flbond,3,"Les stéroïdes c'est pour les taffioles, place au prozac","Je pense bien que tout a été dit sur ce jeu innovant du FPS, du coup je voulais parler d'un accident de parcours chez ""The Duke"" : la version Game.com.La Game.com, c'est la première console monochrome ""tactile"", même si le tactile est plutôt pour les fonctions d'agenda par exemple, les jeux eux mêmes sont...spéciaux.Duke Nukem passe alors du FPS au jeu de tir de fête foraine."" Noir c'est noir""Quand on allume la console on entend le thème si connu du titre, mais passé au ralenti, ce qui fait plutôt peur quand à la suite. Les peurs sont confirmées lorsque, après avoir choisi l'épisode et la difficulté (d'ailleurs aucun niveau ne ressemble), on se retrouve...dans des arènes ambiance cage d'escalier.""Hail to the vieux baby""On pense que dans cette vision d'horreur, on pourra faire appel aux talents du beau musclé, mais c'est sans compter la maniabilité totalement à l'ouest : on ne saute pas, on ne tourne pas on ne vise pas.A la place le personnage comme les ennemis ne peuvent faire que des pas de côtés ou avancer d'une case, ce qui rend les combats assez ridicules.""Come...get...zzz""Pour ne pas repartir avec le moindre espoir, le jeu nous fait comprendre qu'il faut prendre son temps : pour bouger, pour changer de niveau, pour tirer ou pour voir un ennemi claquer. Excitant non?""Oh..i need a bed""Les graphismes sont par contre pas si mauvais, et la durée de vie correcte, mais tout le reste ne donne pas envie.On peut résumer ce jeu à une parodie de Duke Nukem 3D, qui ferait passer la version Megadrive pour un chef d'oeuvre.",DN 1997,DN,0.028,0.029,0.943,0.2263,POSITIF
Duke Nukem 64,marchiavel,9,marchiavel,"C'est tout simplement le meilleur Doom-like à l'ancienne sur N64. Prenant le contre-pied du réaliste Goldeneye, Duke Nukem est totalement délirant. Cela tient déjà à la personnalité de Duke et ses vociférations. Mais il y a aussi cette ambiance politiquement incorrecte avec les femmes dénudées, les affiches suggestives et les peep-show à certains endroits. Sûr que le gameplay se limite souvent à trouver telle clé ou tel interrupteur. Sûr aussi que les aliens en 2D dans un environnement 3D datent un peu. Mais le long mode solo (jouable à 2) et l'excellent multi à 4 en font un indispensable.",DN 1997,DN,0.0,0.015,0.985,-0.128,NEGATIF
Duke Nukem 64,alberto-Little,8,Pur plaisir ,"Défoncer des ennemis avec mon gun, était génial.Make my day, F...k off ! ",DN 1997,DN,0.0,0.183,0.817,-0.4003,NEGATIF
Duke Nukem 64,Freytaw,7,Un FPS version console qui en a.,"Je me souviendrais de ce jeu surtout pour les parties à 4 endiablées que j'y ai fait. A coté de celà, nous avions un Duke Nukem 3D relooké et ... censuré, mais au combien joli par rapport à sa version classique (et sans trop de brouillard à la N64 s'il vous plait !). Au final, l'esprit du jeu restait bien là, et parcourir les niveaux en solo ou à plusieurs (les uns contre les autres) était tout bonnement jouissif... Petite pensée pour le ""Stadium"" et son lance-roquette à portée de toutes les mains...",DN 1997,DN,0.031,0.016,0.953,0.3595,POSITIF
Duke Nukem 64,Gniouk,9,Gniouk,"Une note élevée car c'est un de mes meilleurs moments de boucherie sur console. Du fun, des niveaux variés, un mode multijoueurs exellent, je ne compte pas les heures de jeu passées à déglinguer du martien et sauver les pin up.Un pur régal qui même maintenant, ne change pas.Intemporel BLOW IT OUT YOUR ASS !!",DN 1997,DN,0.054,0.079,0.867,-0.3647,NEGATIF
Duke : Été meurtrier,Antevre,8,"Sea, sex and sun ? More like aliens, fights and guns !","Achevant mon périple dans le monde de Duke Nukem 3D, me voici donc parti démolir des aliens sur les plages, en pleines vacances. Qu’est-ce qu’on nous fait pas faire…Je crois vaguement que c’est ça le scénar, si je me souviens : Duke part en vacances, mais les aliens ont décidé de lui pourrir la vie. Sortez vos pistolets à eau et autres conchanators, le Duke repart en mission !Gros coup de cœur visuel sur cette extension. Les atmosphères sont très soignées, tous les ennemis ou presque ont droit à une nouvelle skin, ainsi que les armes du Duke (qui s’octroient au passage des bruitages en lien avec le thème : le pistolet devient ainsi un pistolet à eau par exemple). Comme de juste pour la série, il y a pléthore de dames en bikinis à se dorer la pilule, ce qui est assez hilarant (les nanas qui passent par-dessus bord sur le bateau en criant « Help me Duke ! », impayable), et l’on a droit à un nouvel ennemi, un alien monté sur une bouée qui balance des noix de coco (enfin, des roquettes quoi) et est heureusement assez fragile (ils sont très réactifs les bougres, ce qui les rend plutôt dangereux). Les niveaux sont très sympa et variés, je trouve néanmoins qu’ils n’exploitent pas énormément l’axe vertical (d’ailleurs, on a pas droit au jetpack, un peu frustrant).Malgré cette petite gêne, Caribbean Life’s a Beach est l’extension de Duke Nukem 3D la plus drôle, et la plus réussie dans l’ensemble (il y a d’ailleurs un paquet de secrets dans chaque niveau et une difficulté assez corsée).",DN 1997,DN,0.012,0.0,0.988,0.508,POSITIF
Duke : Été meurtrier,pHSult,8,"Duke Nukem 3D: Caribbean Life's a Beach, ""vacances"" aux Caraïbes !","Duke Nukem 3D: Caribbean Life's a Beach est une extension officielle de Duke Nukem 3D où Duke doit mettre fin à ces vacances aux Caraïbes afin de contrer une fois encore, une invasion alien.Du côté ambiance, cette extension change radicalement avec celle du jeu de base (tout comme l'avait fait Nuclear Winter), on a des musiques estivales, des aliens en shorts de bain et même des mouettes comme ennemi.L'arsenal a aussi subit des changements, c'est le même mais avec de nouveaux skins et effets sonores, des pistolets à eau, des grenades ananas, des lances roquettes... pardon des lances noix de coco ... bref c'est vraiment une tout autre ambiance que certains ne vont pas apprécier.Il y a aussi des nouvelles répliques pour Duke, c'est clairement un plus !Du côté level design, c'est le point fort de l'extension, les niveaux sont vraiment bons à part les derniers où pour avancer, une soluce peut être de mise au vu de certains endroits honteusement cachés.Caribbean Life's a Beach était disponible sur la Megaton Edition sortie en 2013 par 3DRealms, cependant 3DRealms n'avait pas du tout les droits alors en 2016, Gearbox a retiré de la vente cette édition. C'est pourquoi je recommande le source port non officiel EDuke32 si vous voulez jouer à cette extension.Cette extension aux Caraïbes change radicalement le jeu de base, tout comme Nuclear Winter. C'est un délire que certains ne vont pas adhérer mais ça vaut le coup d'œil. C'est amusant et le level design est assez bien foutu dans l'ensemble mais s'essouffle sur la fin.",DN 1997,DN,0.009,0.024,0.967,-0.2481,NEGATIF
Duke : Été meurtrier,Flbond,8,It's time to limbo!,"http://techgage.com/reviews/gaming/duke_nukem_3d_megaton/duke_nukem_3d_megaton_caribbean_01_thumb.jpgDuke c'est homme fort, sexy, performant mais qui a besoin comme tout le monde de vacances. Il décide donc de se dorer la pilule dans un univers paradisiaque avec cocktails et filles faciles à volonté, espérant bien oublier le bordel mis à L.A et l'Empereur Cycloïde...pas de bol les Aliens l'ont suivi.Et c'est dans ce contexte qu'on commence cet add-on avec un bien meilleur nom en Anglais (Life's a Beach). Pour moi il reste celui le plus travaillé, loin devant Duke Out In DC. Dès le premier niveau l'ambiance festive est là, et l'envie de de défoncer de l'Alien est en que plus grande. La musique et les décors sont un vrai dépaysement pour tous ceux qui espéraient le côté glauque de Los Angeles et qui sont dans une parodie de Club Med.http://dukertcm.com/images/reviews-mod-eduke32/sharkcove2-2.jpgMais le plus fun reste de voir que beaucoup de skins ont été refaits. Fini les medikits, pistolets, RPG et cartes d'accès et vive les bananes, pistolets à eau, lance noix de coco et cartes bancaires. Les ennemis ont également subit un changement de garde robe dominée quasi souvent par les chemises à fleurs et des RayBan, comme le Proco Flic qui a quand même une sacré classe :http://images3.wikia.nocookie.net/__cb20090922162513/dukenukem/images/thumb/2/28/Cd1.gif/482px-Cd1.gifLe seul souci reste qu'il est un peu trop court, et que les niveaux pourtant très bien étudiés, sont un cran en dessous de ce qu'on à l'habitude de voir sur Duke Nukem 3D + Atomic, mais celà reste un point pour pinailler.En bref C'est débile, c'est à peine crédible mais c'est fun et c'est tout ce qu'on demande.",DN 1997,DN,0.048,0.011,0.941,0.9001,POSITIF
Duke : Été meurtrier,Jopopoe,6,"Bon jeu, ambiance bof","Le gimmick des vacances aux caraïbes est marrant 5 minutes, mais dès la moitié du premier niveau ça m'avait déjà blasé. Troquer la super ambiance stéroïdée de Duke Nukem 3D contre une ambiance palmiers-plage-cocktail pouvait être séduisant sur la papier mais l'idée ne tient pas sur la longueur et est très vite lassante.Alors niveau gameplay et level design ça se défend pas mal, même si ce dernier est inférieur à celui du jeu original, mais cette ambiance mollassonne torpille malheureusement le tout.",DN 1997,DN,0.072,0.017,0.911,0.6908,POSITIF
Duke: Nuclear Winter,Flbond,6,Le père noël est une ordure²,"Parmi les trois vrais Add-on de Duke Nukem 3D remis au goût du jour par l'édition Megaton, Hiver Nucléaire est celui qui a été le moins apprécié à sa sortie. Pour faire journaliste ""Pour quelles raisons et qu'en est il vraiment?"", on va laisser le côté fanboy le plus possible.Ici plus question de se dorer la pillule au soleil, la situation est encore plus grave : le père noël est devenu fou. Les elfes aliens lui ont lavé le cerveau et greffé deux lances roquettes et Noël risque bien de disparaître, et même si Duke n'est pas une tapette, il aime cette fête. Il va donc se lancer dans plusieurs niveaux pour rétablir l'ordre et l'amour chez le patron au Pôle Nord.Une des premières critiques est le changement des développeurs, Simply Silly Software remplaçant Sunstorm Interactive à l'oeuvre sur les 2 autres extensions. Les fans ont cru bon de crier au viol de la série purement et simplement sans vraiment aller loin dans le jeu. Et au départ on ne peut pas trop leur donner tort car les deux premiers niveaux sont ""Red Light District"" puis ""Hollywood Hollocaust""...à l'envers. Dans ceux ci le déroulement est identique, sauf qu'il neige et que des bonhommes de neige ont été rajoutés. Les armes et objets ne sont pas modifiés, même si cachés dans des cadeaux, et le plus gros dépaysement se fait par la musique.http://images2.wikia.nocookie.net/__cb20090920181215/dukenukem/images/0/01/Duke4.gifHeureusement dès que l'on quitte les Etats Unis pour le pôle nord les décors changent pour un contexte plus festif. Mais le deuxième problème arrive, il n'y a aucun changement effectué sur la quasi totalité des skins des armes/objets/ennemis, tout juste quelque petits bonnets de noel, et c'est ce qui était également reproché par les fans : on ne pousse pas le délire assez loin (sauf les musiques de noël). http://santababy.ru/wp-content/uploads/2009/11/duke.jpgParfois on se rapproche de noël, parfois on a des niveaux totalement classiques, quelque fois les ennemis sont à peines retouchés, parfois c'est plus travaillé (les elfes), le jeu à toujours les fesses entre deux chaises. Il semble que le jeu ait eu à sortir plus vite que prévu sans vraiment avoir eu le temps d'être fini.Malgré tout il reste à faire car le level design est quand même plutôt travaillé, l'aventure présente assez de challenge, et le père noël lui même est l'un des adversaires les plus coriaces du monde du FPS.",DN 1997,DN,0.006,0.014,0.98,-0.4939,NEGATIF
