Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
Tomb Raider III: Adventures of Lara Croft,PS,1997.0,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54
Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42
Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.78,0.75,0.89,0.26,2.68
Tomb Raider (2013),PS3,2013.0,Action,Square Enix,0.6,1.31,0.08,0.52,2.51
Tomb Raider: The Last Revelation,PS,1998.0,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48
Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45
Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
Tomb Raider II,PC,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25
Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17
