Titre,Année,Note,Etoiles,Envie_de_jouer,Coup_de_coeur
Duke Nukem 3D,1996,7.7,6.6K,575,502
Duke Nukem Forever,2011,4.2,2.2K,331,38
Duke Nukem 64,1997,7,382,38,19
Duke Nukem: Time to Kill,1998,6.7,407,28,18
Duke Nukem 3D: Megaton Edition,2013,7.9,206,41,33
Duke Nukem,1991,6.5,133,19,3
Duke Nukem: Land of the Babes,2000,5.9,157,19,3
Duke Nukem 3D: 20th Anniversary World Tour,2016,7.4,87,28,11
Duke Nukem 2,1993,6.6,83,11,1
Duke Nukem 3D: Atomic Edition,1996,8.5,45,11,9
Duke Nukem: Manhattan Project,2002,5.9,91,11,2
Duke Nukem 3D: Plutonium Pak,1996,8.1,58,6,4
Duke Nukem 3D (version Game.com),1997,7.9,9,5,0
Duke Nukem: Zero Hour,1999,6,54,6,3
Duke Nukem Advance,2002,6.4,37,7,2
Duke Nukem Forever : Le Docteur qui m'a cloné,2011,5.9,29,4,1
Duke Nukem,1999,5.8,20,2,0
Duke Nukem: Critical Mass,2011,2.1,21,6,0
Duke Nukem Trilogy: Proving Grounds,Null,Null,1,1,0
Duke Nukem Mobile,2004,Null,4,1,0
Duke : Été meurtrier,1997,7.5,47,12,5
Duke à Washington,1997,7,39,9,0
Duke: Nuclear Winter,1997,6.3,47,4,1
Duke Xtreme,1997,Null,2,Null,0
